"","year","number_of_publication"
"1",2009,2
"2",2010,2
"3",2011,6
"4",2012,0
"5",2013,5
"6",2014,12
"7",2015,5
"8",2016,11
"9",2017,8
"10",2018,8
"11",2019,8
"12",2020,5
"13",2021,5
"14",2022,7
"15",2023,3
